COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
ANDERSON,Wendy Davis,627,685,92,Governor,Democratic
ANDREWS,Wendy Davis,51,72,71,Governor,Democratic
ANGELINA,Wendy Davis,789,907,87,Governor,Democratic
ARANSAS,Wendy Davis,278,312,89,Governor,Democratic
ARCHER,Wendy Davis,54,59,92,Governor,Democratic
ARMSTRONG,Wendy Davis,0,0,0,Governor,Democratic
ATASCOSA,Wendy Davis,537,832,65,Governor,Democratic
AUSTIN,Wendy Davis,158,178,89,Governor,Democratic
BAILEY,Wendy Davis,26,38,68,Governor,Democratic
BANDERA,Wendy Davis,229,243,94,Governor,Democratic
BASTROP,Wendy Davis,1613,1754,92,Governor,Democratic
BAYLOR,Wendy Davis,22,32,69,Governor,Democratic
BEE,Wendy Davis,420,1143,37,Governor,Democratic
BELL,Wendy Davis,2319,2617,89,Governor,Democratic
BEXAR,Wendy Davis,35578,41664,85,Governor,Democratic
BLANCO,Wendy Davis,159,166,96,Governor,Democratic
BORDEN,Wendy Davis,0,0,0,Governor,Democratic
BOSQUE,Wendy Davis,243,271,90,Governor,Democratic
BOWIE,Wendy Davis,260,300,87,Governor,Democratic
BRAZORIA,Wendy Davis,2601,2839,92,Governor,Democratic
BRAZOS,Wendy Davis,1734,1926,90,Governor,Democratic
BREWSTER,Wendy Davis,841,1318,64,Governor,Democratic
BRISCOE,Wendy Davis,17,20,85,Governor,Democratic
BROOKS,Wendy Davis,552,1594,35,Governor,Democratic
BROWN,Wendy Davis,180,208,87,Governor,Democratic
BURLESON,Wendy Davis,202,229,88,Governor,Democratic
BURNET,Wendy Davis,458,486,94,Governor,Democratic
CALDWELL,Wendy Davis,1381,2024,68,Governor,Democratic
CALHOUN,Wendy Davis,1026,1652,62,Governor,Democratic
CALLAHAN,Wendy Davis,0,0,0,Governor,Democratic
CAMERON,Wendy Davis,8514,15747,54,Governor,Democratic
CAMP,Wendy Davis,171,193,89,Governor,Democratic
CARSON,Wendy Davis,48,57,84,Governor,Democratic
CASS,Wendy Davis,514,646,80,Governor,Democratic
CASTRO,Wendy Davis,60,81,74,Governor,Democratic
CHAMBERS,Wendy Davis,268,297,90,Governor,Democratic
CHEROKEE,Wendy Davis,396,435,91,Governor,Democratic
CHILDRESS,Wendy Davis,36,47,77,Governor,Democratic
CLAY,Wendy Davis,76,92,83,Governor,Democratic
COCHRAN,Wendy Davis,0,0,0,Governor,Democratic
COKE,Wendy Davis,21,24,88,Governor,Democratic
COLEMAN,Wendy Davis,60,69,87,Governor,Democratic
COLLIN,Wendy Davis,9030,9441,96,Governor,Democratic
COLLINGSWORTH,Wendy Davis,0,0,0,Governor,Democratic
COLORADO,Wendy Davis,195,230,85,Governor,Democratic
COMAL,Wendy Davis,1516,1646,92,Governor,Democratic
COMANCHE,Wendy Davis,150,173,87,Governor,Democratic
CONCHO,Wendy Davis,22,23,96,Governor,Democratic
COOKE,Wendy Davis,252,273,92,Governor,Democratic
CORYELL,Wendy Davis,335,386,87,Governor,Democratic
COTTLE,Wendy Davis,24,40,60,Governor,Democratic
CRANE,Wendy Davis,50,84,60,Governor,Democratic
CROCKETT,Wendy Davis,256,597,43,Governor,Democratic
CROSBY,Wendy Davis,236,413,57,Governor,Democratic
CULBERSON,Wendy Davis,205,453,45,Governor,Democratic
DALLAM,Wendy Davis,0,0,0,Governor,Democratic
DALLAS,Wendy Davis,59649,64533,92,Governor,Democratic
DAWSON,Wendy Davis,146,316,46,Governor,Democratic
DEAF SMITH,Wendy Davis,40,61,66,Governor,Democratic
DELTA,Wendy Davis,78,86,91,Governor,Democratic
DENTON,Wendy Davis,6757,7079,95,Governor,Democratic
DE WITT,Wendy Davis,143,155,92,Governor,Democratic
DICKENS,Wendy Davis,0,0,0,Governor,Democratic
DIMMIT,Wendy Davis,1060,2187,48,Governor,Democratic
DONLEY,Wendy Davis,19,21,90,Governor,Democratic
DUVAL,Wendy Davis,1114,2604,43,Governor,Democratic
EASTLAND,Wendy Davis,118,141,84,Governor,Democratic
ECTOR,Wendy Davis,907,1320,69,Governor,Democratic
EDWARDS,Wendy Davis,65,118,55,Governor,Democratic
ELLIS,Wendy Davis,1897,2072,92,Governor,Democratic
EL PASO,Wendy Davis,19753,28474,69,Governor,Democratic
ERATH,Wendy Davis,233,256,91,Governor,Democratic
FALLS,Wendy Davis,194,228,85,Governor,Democratic
FANNIN,Wendy Davis,353,406,87,Governor,Democratic
FAYETTE,Wendy Davis,290,347,84,Governor,Democratic
FISHER,Wendy Davis,365,543,67,Governor,Democratic
FLOYD,Wendy Davis,20,33,61,Governor,Democratic
FOARD,Wendy Davis,57,88,65,Governor,Democratic
FORT BEND,Wendy Davis,7745,8331,93,Governor,Democratic
FRANKLIN,Wendy Davis,80,90,89,Governor,Democratic
FREESTONE,Wendy Davis,283,327,87,Governor,Democratic
FRIO,Wendy Davis,796,1705,47,Governor,Democratic
GAINES,Wendy Davis,45,66,68,Governor,Democratic
GALVESTON,Wendy Davis,3969,4328,92,Governor,Democratic
GARZA,Wendy Davis,22,27,81,Governor,Democratic
GILLESPIE,Wendy Davis,307,320,96,Governor,Democratic
GLASSCOCK,Wendy Davis,0,0,0,Governor,Democratic
GOLIAD,Wendy Davis,214,362,59,Governor,Democratic
GONZALES,Wendy Davis,158,250,63,Governor,Democratic
GRAY,Wendy Davis,75,81,93,Governor,Democratic
GRAYSON,Wendy Davis,1025,1113,92,Governor,Democratic
GREGG,Wendy Davis,1744,1953,89,Governor,Democratic
GRIMES,Wendy Davis,222,250,89,Governor,Democratic
GUADALUPE,Wendy Davis,1502,1688,89,Governor,Democratic
HALE,Wendy Davis,128,179,72,Governor,Democratic
HALL,Wendy Davis,51,64,80,Governor,Democratic
HAMILTON,Wendy Davis,140,157,89,Governor,Democratic
HANSFORD,Wendy Davis,0,0,0,Governor,Democratic
HARDEMAN,Wendy Davis,59,75,79,Governor,Democratic
HARDIN,Wendy Davis,423,483,88,Governor,Democratic
HARRIS,Wendy Davis,47372,51397,92,Governor,Democratic
HARRISON,Wendy Davis,1070,1221,88,Governor,Democratic
HARTLEY,Wendy Davis,0,0,0,Governor,Democratic
HASKELL,Wendy Davis,158,207,76,Governor,Democratic
HAYS,Wendy Davis,2954,3131,94,Governor,Democratic
HEMPHILL,Wendy Davis,19,20,95,Governor,Democratic
HENDERSON,Wendy Davis,922,1000,92,Governor,Democratic
HIDALGO,Wendy Davis,16994,35901,47,Governor,Democratic
HILL,Wendy Davis,375,431,87,Governor,Democratic
HOCKLEY,Wendy Davis,96,130,74,Governor,Democratic
HOOD,Wendy Davis,598,625,96,Governor,Democratic
HOPKINS,Wendy Davis,407,465,88,Governor,Democratic
HOUSTON,Wendy Davis,229,252,91,Governor,Democratic
HOWARD,Wendy Davis,181,222,82,Governor,Democratic
HUDSPETH,Wendy Davis,172,399,43,Governor,Democratic
HUNT,Wendy Davis,664,718,92,Governor,Democratic
HUTCHINSON,Wendy Davis,120,146,82,Governor,Democratic
IRION,Wendy Davis,17,21,81,Governor,Democratic
JACK,Wendy Davis,63,71,89,Governor,Democratic
JACKSON,Wendy Davis,102,134,76,Governor,Democratic
JASPER,Wendy Davis,598,825,72,Governor,Democratic
JEFF DAVIS,Wendy Davis,268,410,65,Governor,Democratic
JEFFERSON,Wendy Davis,9322,10623,88,Governor,Democratic
JIM HOGG,Wendy Davis,607,1574,39,Governor,Democratic
JIM WELLS,Wendy Davis,1706,4197,41,Governor,Democratic
JOHNSON,Wendy Davis,1169,1279,91,Governor,Democratic
JONES,Wendy Davis,118,137,86,Governor,Democratic
KARNES,Wendy Davis,738,1398,53,Governor,Democratic
KAUFMAN,Wendy Davis,1091,1175,93,Governor,Democratic
KENDALL,Wendy Davis,309,327,94,Governor,Democratic
KENEDY,Wendy Davis,22,59,37,Governor,Democratic
KENT,Wendy Davis,94,151,62,Governor,Democratic
KERR,Wendy Davis,551,578,95,Governor,Democratic
KIMBLE,Wendy Davis,0,0,0,Governor,Democratic
KING,Wendy Davis,1,2,50,Governor,Democratic
KINNEY,Wendy Davis,228,410,56,Governor,Democratic
KLEBERG,Wendy Davis,761,2028,38,Governor,Democratic
KNOX,Wendy Davis,65,76,86,Governor,Democratic
LAMAR,Wendy Davis,522,597,87,Governor,Democratic
LAMB,Wendy Davis,62,94,66,Governor,Democratic
LAMPASAS,Wendy Davis,148,175,85,Governor,Democratic
LA SALLE,Wendy Davis,368,869,42,Governor,Democratic
LAVACA,Wendy Davis,210,257,82,Governor,Democratic
LEE,Wendy Davis,233,284,82,Governor,Democratic
LEON,Wendy Davis,127,138,92,Governor,Democratic
LIBERTY,Wendy Davis,501,563,89,Governor,Democratic
LIMESTONE,Wendy Davis,277,324,85,Governor,Democratic
LIPSCOMB,Wendy Davis,12,15,80,Governor,Democratic
LIVE OAK,Wendy Davis,78,116,67,Governor,Democratic
LLANO,Wendy Davis,406,443,92,Governor,Democratic
LOVING,Wendy Davis,6,10,60,Governor,Democratic
LUBBOCK,Wendy Davis,3191,3925,81,Governor,Democratic
LYNN,Wendy Davis,0,0,0,Governor,Democratic
MADISON,Wendy Davis,99,109,91,Governor,Democratic
MARION,Wendy Davis,203,233,87,Governor,Democratic
MARTIN,Wendy Davis,16,32,50,Governor,Democratic
MASON,Wendy Davis,63,73,86,Governor,Democratic
MATAGORDA,Wendy Davis,975,1311,74,Governor,Democratic
MAVERICK,Wendy Davis,2067,3781,55,Governor,Democratic
MCCULLOCH,Wendy Davis,0,0,0,Governor,Democratic
MCLENNAN,Wendy Davis,2053,2288,90,Governor,Democratic
MCMULLEN,Wendy Davis,0,0,0,Governor,Democratic
MEDINA,Wendy Davis,411,497,83,Governor,Democratic
MENARD,Wendy Davis,17,21,81,Governor,Democratic
MIDLAND,Wendy Davis,765,960,80,Governor,Democratic
MILAM,Wendy Davis,350,398,88,Governor,Democratic
MILLS,Wendy Davis,0,0,0,Governor,Democratic
MITCHELL,Wendy Davis,78,102,76,Governor,Democratic
MONTAGUE,Wendy Davis,92,101,91,Governor,Democratic
MONTGOMERY,Wendy Davis,2345,2500,94,Governor,Democratic
MOORE,Wendy Davis,0,0,0,Governor,Democratic
MORRIS,Wendy Davis,692,905,76,Governor,Democratic
MOTLEY,Wendy Davis,13,14,93,Governor,Democratic
NACOGDOCHES,Wendy Davis,604,673,90,Governor,Democratic
NAVARRO,Wendy Davis,481,562,86,Governor,Democratic
NEWTON,Wendy Davis,712,1086,66,Governor,Democratic
NOLAN,Wendy Davis,281,355,79,Governor,Democratic
NUECES,Wendy Davis,5411,7688,70,Governor,Democratic
OCHILTREE,Wendy Davis,13,19,68,Governor,Democratic
OLDHAM,Wendy Davis,0,0,0,Governor,Democratic
ORANGE,Wendy Davis,1141,1336,85,Governor,Democratic
PALO PINTO,Wendy Davis,308,354,87,Governor,Democratic
PANOLA,Wendy Davis,195,233,84,Governor,Democratic
PARKER,Wendy Davis,1273,1364,93,Governor,Democratic
PARMER,Wendy Davis,15,28,54,Governor,Democratic
PECOS,Wendy Davis,250,576,43,Governor,Democratic
POLK,Wendy Davis,436,488,89,Governor,Democratic
POTTER,Wendy Davis,669,808,83,Governor,Democratic
PRESIDIO,Wendy Davis,448,975,46,Governor,Democratic
RAINS,Wendy Davis,93,109,85,Governor,Democratic
RANDALL,Wendy Davis,796,909,88,Governor,Democratic
REAGAN,Wendy Davis,5,9,56,Governor,Democratic
REAL,Wendy Davis,13,14,93,Governor,Democratic
RED RIVER,Wendy Davis,255,298,86,Governor,Democratic
REEVES,Wendy Davis,520,1316,40,Governor,Democratic
REFUGIO,Wendy Davis,141,253,56,Governor,Democratic
ROBERTS,Wendy Davis,0,0,0,Governor,Democratic
ROBERTSON,Wendy Davis,1195,1599,75,Governor,Democratic
ROCKWALL,Wendy Davis,912,968,94,Governor,Democratic
RUNNELS,Wendy Davis,38,44,86,Governor,Democratic
RUSK,Wendy Davis,296,346,86,Governor,Democratic
SABINE,Wendy Davis,125,144,87,Governor,Democratic
SAN AUGUSTINE,Wendy Davis,249,346,72,Governor,Democratic
SAN JACINTO,Wendy Davis,527,622,85,Governor,Democratic
SAN PATRICIO,Wendy Davis,895,1644,54,Governor,Democratic
SAN SABA,Wendy Davis,0,0,0,Governor,Democratic
SCHLEICHER,Wendy Davis,95,157,61,Governor,Democratic
