COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
RUNNELS,Greg Abbott,1510,1648,92,Governor
RUSK,Greg Abbott,4304,4642,93,Governor
SABINE,Greg Abbott,1494,1645,91,Governor
SAN AUGUSTINE,Greg Abbott,719,762,94,Governor
SAN JACINTO,Greg Abbott,2362,2551,93,Governor
SAN PATRICIO,Greg Abbott,2740,2935,93,Governor
SAN SABA,Greg Abbott,859,945,91,Governor
SCHLEICHER,Greg Abbott,400,434,92,Governor
SCURRY,Greg Abbott,1512,1672,90,Governor
SHACKELFORD,Greg Abbott,438,462,95,Governor
SHELBY,Greg Abbott,2695,2972,91,Governor
SHERMAN,Greg Abbott,287,349,82,Governor
SMITH,Greg Abbott,19577,20875,94,Governor
SOMERVELL,Greg Abbott,1450,1656,88,Governor
STARR,Greg Abbott,0,0,0,Governor
STEPHENS,Greg Abbott,1646,1849,89,Governor
STERLING,Greg Abbott,340,386,88,Governor
STONEWALL,Greg Abbott,50,54,93,Governor
SUTTON,Greg Abbott,604,685,88,Governor
SWISHER,Greg Abbott,366,412,89,Governor
TARRANT,Greg Abbott,84695,92879,91,Governor
TAYLOR,Greg Abbott,11250,12314,91,Governor
TERRELL,Greg Abbott,93,106,88,Governor
TERRY,Greg Abbott,1430,1717,83,Governor
THROCKMORTON,Greg Abbott,339,386,88,Governor
TITUS,Greg Abbott,1980,2083,95,Governor
TOM GREEN,Greg Abbott,7642,8278,92,Governor
TRAVIS,Greg Abbott,28307,32779,86,Governor
TRINITY,Greg Abbott,2012,2308,87,Governor
TYLER,Greg Abbott,2312,2495,93,Governor
UPSHUR,Greg Abbott,3677,3973,93,Governor
UPTON,Greg Abbott,111,124,90,Governor
UVALDE,Greg Abbott,1246,1345,93,Governor
VAL VERDE,Greg Abbott,970,1161,84,Governor
VAN ZANDT,Greg Abbott,5844,6241,94,Governor
VICTORIA,Greg Abbott,5774,6366,91,Governor
WALKER,Greg Abbott,4526,5066,89,Governor
WALLER,Greg Abbott,3523,3829,92,Governor
WARD,Greg Abbott,624,664,94,Governor
WASHINGTON,Greg Abbott,4131,4406,94,Governor
WEBB,Greg Abbott,725,1141,64,Governor
WHARTON,Greg Abbott,3456,3666,94,Governor
WHEELER,Greg Abbott,595,682,87,Governor
WICHITA,Greg Abbott,7471,8116,92,Governor
WILBARGER,Greg Abbott,751,813,92,Governor
WILLACY,Greg Abbott,117,129,91,Governor
WILLIAMSON,Greg Abbott,21616,24150,90,Governor
WILSON,Greg Abbott,3529,3875,91,Governor
WINKLER,Greg Abbott,714,805,89,Governor
WISE,Greg Abbott,5027,5568,90,Governor
WOOD,Greg Abbott,4546,4897,93,Governor
YOAKUM,Greg Abbott,730,865,84,Governor
YOUNG,Greg Abbott,1976,2122,93,Governor
ZAPATA,Greg Abbott,0,0,0,Governor
ZAVALA,Greg Abbott,0,0,0,Governor
ANDERSON,David Dewhurst,541,6003,9,Lite Guv
ANDREWS,David Dewhurst,565,1337,42,Lite Guv
ANGELINA,David Dewhurst,1430,8474,17,Lite Guv
ARANSAS,David Dewhurst,1337,3029,44,Lite Guv
ARCHER,David Dewhurst,566,1294,44,Lite Guv
ARMSTRONG,David Dewhurst,68,435,16,Lite Guv
ATASCOSA,David Dewhurst,479,1585,30,Lite Guv
AUSTIN,David Dewhurst,819,3655,22,Lite Guv
BAILEY,David Dewhurst,109,471,23,Lite Guv
BANDERA,David Dewhurst,733,2825,26,Lite Guv
BASTROP,David Dewhurst,1599,4686,34,Lite Guv
BAYLOR,David Dewhurst,278,563,49,Lite Guv
BEE,David Dewhurst,399,1268,31,Lite Guv
BELL,David Dewhurst,4608,13515,34,Lite Guv
BEXAR,David Dewhurst,19939,61433,32,Lite Guv
BLANCO,David Dewhurst,540,1673,32,Lite Guv
BORDEN,David Dewhurst,59,215,27,Lite Guv
BOSQUE,David Dewhurst,714,2549,28,Lite Guv
BOWIE,David Dewhurst,4241,8760,48,Lite Guv
BRAZORIA,David Dewhurst,2953,18295,16,Lite Guv
BRAZOS,David Dewhurst,2850,10645,27,Lite Guv
BREWSTER,David Dewhurst,136,466,29,Lite Guv
BRISCOE,David Dewhurst,130,341,38,Lite Guv
BROOKS,David Dewhurst,0,0,0,Lite Guv
BROWN,David Dewhurst,3007,5780,52,Lite Guv
BURLESON,David Dewhurst,326,1122,29,Lite Guv
BURNET,David Dewhurst,2327,5902,39,Lite Guv
CALDWELL,David Dewhurst,422,1223,35,Lite Guv
CALHOUN,David Dewhurst,298,998,30,Lite Guv
CALLAHAN,David Dewhurst,801,1625,49,Lite Guv
CAMERON,David Dewhurst,1813,3831,47,Lite Guv
CAMP,David Dewhurst,316,969,33,Lite Guv
CARSON,David Dewhurst,344,1013,34,Lite Guv
CASS,David Dewhurst,1352,3289,41,Lite Guv
CASTRO,David Dewhurst,245,638,38,Lite Guv
CHAMBERS,David Dewhurst,864,3802,23,Lite Guv
CHEROKEE,David Dewhurst,1040,5319,20,Lite Guv
CHILDRESS,David Dewhurst,357,835,43,Lite Guv
CLAY,David Dewhurst,619,1455,43,Lite Guv
COCHRAN,David Dewhurst,253,619,41,Lite Guv
COKE,David Dewhurst,239,489,49,Lite Guv
