COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
GRIMES,Glenn Hegar,752,1512,50,Comptroller
GUADALUPE,Glenn Hegar,4351,10354,42,Comptroller
HALE,Glenn Hegar,884,2232,40,Comptroller
HALL,Glenn Hegar,78,180,43,Comptroller
HAMILTON,Glenn Hegar,576,1115,52,Comptroller
HANSFORD,Glenn Hegar,382,901,42,Comptroller
HARDEMAN,Glenn Hegar,41,164,25,Comptroller
HARDIN,Glenn Hegar,2203,6173,36,Comptroller
HARRIS,Glenn Hegar,66599,127060,52,Comptroller
HARRISON,Glenn Hegar,1554,4441,35,Comptroller
HARTLEY,Glenn Hegar,398,757,53,Comptroller
HASKELL,Glenn Hegar,149,242,62,Comptroller
HAYS,Glenn Hegar,3565,7683,46,Comptroller
HEMPHILL,Glenn Hegar,190,471,40,Comptroller
HENDERSON,Glenn Hegar,4160,7785,53,Comptroller
HIDALGO,Glenn Hegar,1131,5388,21,Comptroller
HILL,Glenn Hegar,2951,5115,58,Comptroller
HOCKLEY,Glenn Hegar,693,1632,42,Comptroller
HOOD,Glenn Hegar,3716,7213,52,Comptroller
HOPKINS,Glenn Hegar,1732,2718,64,Comptroller
HOUSTON,Glenn Hegar,721,1622,44,Comptroller
HOWARD,Glenn Hegar,1054,2736,39,Comptroller
HUDSPETH,Glenn Hegar,0,0,0,Comptroller
HUNT,Glenn Hegar,3776,7044,54,Comptroller
HUTCHINSON,Glenn Hegar,965,2200,44,Comptroller
IRION,Glenn Hegar,67,217,31,Comptroller
JACK,Glenn Hegar,395,785,50,Comptroller
JACKSON,Glenn Hegar,851,1164,73,Comptroller
JASPER,Glenn Hegar,751,2010,37,Comptroller
JEFF DAVIS,Glenn Hegar,61,267,23,Comptroller
JEFFERSON,Glenn Hegar,3759,9124,41,Comptroller
JIM HOGG,Glenn Hegar,1,10,10,Comptroller
JIM WELLS,Glenn Hegar,190,516,37,Comptroller
JOHNSON,Glenn Hegar,5914,10816,55,Comptroller
JONES,Glenn Hegar,731,1554,47,Comptroller
KARNES,Glenn Hegar,121,307,39,Comptroller
KAUFMAN,Glenn Hegar,4945,8352,59,Comptroller
KENDALL,Glenn Hegar,1946,5465,36,Comptroller
KENEDY,Glenn Hegar,3,15,20,Comptroller
KENT,Glenn Hegar,65,104,63,Comptroller
KERR,Glenn Hegar,1750,8657,20,Comptroller
KIMBLE,Glenn Hegar,176,1064,17,Comptroller
KING,Glenn Hegar,25,52,48,Comptroller
KINNEY,Glenn Hegar,77,281,27,Comptroller
KLEBERG,Glenn Hegar,244,789,31,Comptroller
KNOX,Glenn Hegar,155,402,39,Comptroller
LAMAR,Glenn Hegar,2321,4568,51,Comptroller
LAMB,Glenn Hegar,495,1214,41,Comptroller
LAMPASAS,Glenn Hegar,798,2217,36,Comptroller
LA SALLE,Glenn Hegar,4,7,57,Comptroller
LAVACA,Glenn Hegar,1561,2255,69,Comptroller
LEE,Glenn Hegar,609,1058,58,Comptroller
LEON,Glenn Hegar,1015,2426,42,Comptroller
LIBERTY,Glenn Hegar,3025,5942,51,Comptroller
LIMESTONE,Glenn Hegar,877,2077,42,Comptroller
LIPSCOMB,Glenn Hegar,218,558,39,Comptroller
LIVE OAK,Glenn Hegar,242,739,33,Comptroller
LLANO,Glenn Hegar,1471,3770,39,Comptroller
LOVING,Glenn Hegar,3,10,30,Comptroller
LUBBOCK,Glenn Hegar,9904,21336,46,Comptroller
LYNN,Glenn Hegar,441,919,48,Comptroller
MADISON,Glenn Hegar,565,1534,37,Comptroller
MARION,Glenn Hegar,224,593,38,Comptroller
MARTIN,Glenn Hegar,232,685,34,Comptroller
MASON,Glenn Hegar,290,1075,27,Comptroller
MATAGORDA,Glenn Hegar,1264,1691,75,Comptroller
MAVERICK,Glenn Hegar,23,76,30,Comptroller
MCCULLOCH,Glenn Hegar,214,1520,14,Comptroller
MCLENNAN,Glenn Hegar,5832,10458,56,Comptroller
MCMULLEN,Glenn Hegar,68,141,48,Comptroller
MEDINA,Glenn Hegar,1227,3940,31,Comptroller
MENARD,Glenn Hegar,69,479,14,Comptroller
MIDLAND,Glenn Hegar,4784,11442,42,Comptroller
MILAM,Glenn Hegar,992,2267,44,Comptroller
MILLS,Glenn Hegar,344,698,49,Comptroller
MITCHELL,Glenn Hegar,276,648,43,Comptroller
MONTAGUE,Glenn Hegar,841,2493,34,Comptroller
MONTGOMERY,Glenn Hegar,26780,39105,68,Comptroller
MOORE,Glenn Hegar,568,1239,46,Comptroller
MORRIS,Glenn Hegar,225,530,42,Comptroller
MOTLEY,Glenn Hegar,95,177,54,Comptroller
NACOGDOCHES,Glenn Hegar,2370,4966,48,Comptroller
NAVARRO,Glenn Hegar,2266,3907,58,Comptroller
NEWTON,Glenn Hegar,157,422,37,Comptroller
NOLAN,Glenn Hegar,427,998,43,Comptroller
NUECES,Glenn Hegar,3470,11179,31,Comptroller
OCHILTREE,Glenn Hegar,318,874,36,Comptroller
OLDHAM,Glenn Hegar,161,362,44,Comptroller
ORANGE,Glenn Hegar,2343,7043,33,Comptroller
PALO PINTO,Glenn Hegar,1478,2721,54,Comptroller
PANOLA,Glenn Hegar,859,2876,30,Comptroller
PARKER,Glenn Hegar,7218,11912,61,Comptroller
PARMER,Glenn Hegar,412,776,53,Comptroller
PECOS,Glenn Hegar,217,578,38,Comptroller
POLK,Glenn Hegar,2279,4995,46,Comptroller
POTTER,Glenn Hegar,2486,6534,38,Comptroller
PRESIDIO,Glenn Hegar,6,14,43,Comptroller
RAINS,Glenn Hegar,669,1097,61,Comptroller
RANDALL,Glenn Hegar,6388,12591,51,Comptroller
REAGAN,Glenn Hegar,65,259,25,Comptroller
REAL,Glenn Hegar,194,873,22,Comptroller
RED RIVER,Glenn Hegar,577,1254,46,Comptroller
REEVES,Glenn Hegar,0,0,0,Comptroller
REFUGIO,Glenn Hegar,301,551,55,Comptroller
ROBERTS,Glenn Hegar,108,259,42,Comptroller
ROBERTSON,Glenn Hegar,507,1173,43,Comptroller
ROCKWALL,Glenn Hegar,3800,7182,53,Comptroller
RUNNELS,Glenn Hegar,366,1536,24,Comptroller
RUSK,Glenn Hegar,1734,4111,42,Comptroller
SABINE,Glenn Hegar,745,1463,51,Comptroller
SAN AUGUSTINE,Glenn Hegar,341,666,51,Comptroller
SAN JACINTO,Glenn Hegar,1078,2310,47,Comptroller
SAN PATRICIO,Glenn Hegar,822,2603,32,Comptroller
SAN SABA,Glenn Hegar,309,883,35,Comptroller
SCHLEICHER,Glenn Hegar,70,418,17,Comptroller
SCURRY,Glenn Hegar,462,1530,30,Comptroller
SHACKELFORD,Glenn Hegar,219,415,53,Comptroller
SHELBY,Glenn Hegar,753,2422,31,Comptroller
SHERMAN,Glenn Hegar,175,324,54,Comptroller
SMITH,Glenn Hegar,9170,19093,48,Comptroller
SOMERVELL,Glenn Hegar,637,1394,46,Comptroller
STARR,Glenn Hegar,0,0,0,Comptroller
STEPHENS,Glenn Hegar,714,1616,44,Comptroller
STERLING,Glenn Hegar,71,325,22,Comptroller
STONEWALL,Glenn Hegar,20,47,43,Comptroller
SUTTON,Glenn Hegar,117,629,19,Comptroller
SWISHER,Glenn Hegar,179,394,45,Comptroller
TARRANT,Glenn Hegar,50906,86205,59,Comptroller
TAYLOR,Glenn Hegar,5442,11304,48,Comptroller
TERRELL,Glenn Hegar,36,96,38,Comptroller
TERRY,Glenn Hegar,523,1536,34,Comptroller
THROCKMORTON,Glenn Hegar,89,290,31,Comptroller
TITUS,Glenn Hegar,652,1494,44,Comptroller
TOM GREEN,Glenn Hegar,1726,7622,23,Comptroller
TRAVIS,Glenn Hegar,14227,30261,47,Comptroller
TRINITY,Glenn Hegar,851,2007,42,Comptroller
TYLER,Glenn Hegar,674,2090,32,Comptroller
UPSHUR,Glenn Hegar,1864,3572,52,Comptroller
UPTON,Glenn Hegar,27,107,25,Comptroller
UVALDE,Glenn Hegar,275,1334,21,Comptroller
VAL VERDE,Glenn Hegar,263,1052,25,Comptroller
VAN ZANDT,Glenn Hegar,3190,5554,57,Comptroller
VICTORIA,Glenn Hegar,4165,6037,69,Comptroller
WALKER,Glenn Hegar,1854,4513,41,Comptroller
WALLER,Glenn Hegar,3018,3823,79,Comptroller
WARD,Glenn Hegar,224,609,37,Comptroller
WASHINGTON,Glenn Hegar,3053,4199,73,Comptroller
WEBB,Glenn Hegar,188,1098,17,Comptroller
WHARTON,Glenn Hegar,2805,3674,76,Comptroller
WHEELER,Glenn Hegar,286,610,47,Comptroller
WICHITA,Glenn Hegar,1779,6985,25,Comptroller
WILBARGER,Glenn Hegar,236,720,33,Comptroller
WILLACY,Glenn Hegar,25,121,21,Comptroller
WILLIAMSON,Glenn Hegar,10736,22121,49,Comptroller
WILSON,Glenn Hegar,1388,3551,39,Comptroller
WINKLER,Glenn Hegar,281,719,39,Comptroller
WISE,Glenn Hegar,2429,5169,47,Comptroller
WOOD,Glenn Hegar,2380,4599,52,Comptroller
YOAKUM,Glenn Hegar,364,782,47,Comptroller
YOUNG,Glenn Hegar,709,1881,38,Comptroller
ZAPATA,Glenn Hegar,0,0,0,Comptroller
ZAVALA,Glenn Hegar,0,0,0,Comptroller
ANDERSON,Harvey Hilderbran,886,5238,17,Comptroller
ANDREWS,Harvey Hilderbran,380,1243,31,Comptroller
ANGELINA,Harvey Hilderbran,2621,7479,35,Comptroller
ARANSAS,Harvey Hilderbran,766,2834,27,Comptroller
ARCHER,Harvey Hilderbran,417,1088,38,Comptroller
ARMSTRONG,Harvey Hilderbran,157,468,34,Comptroller
ATASCOSA,Harvey Hilderbran,526,1503,35,Comptroller
AUSTIN,Harvey Hilderbran,515,3507,15,Comptroller
BAILEY,Harvey Hilderbran,155,436,36,Comptroller
BANDERA,Harvey Hilderbran,1358,2752,49,Comptroller
BASTROP,Harvey Hilderbran,798,4327,18,Comptroller
BAYLOR,Harvey Hilderbran,146,435,34,Comptroller
BEE,Harvey Hilderbran,392,1194,33,Comptroller
BELL,Harvey Hilderbran,2521,12353,20,Comptroller
BEXAR,Harvey Hilderbran,21444,58295,37,Comptroller
BLANCO,Harvey Hilderbran,622,1487,42,Comptroller
BORDEN,Harvey Hilderbran,64,184,35,Comptroller
BOSQUE,Harvey Hilderbran,427,2294,19,Comptroller
BOWIE,Harvey Hilderbran,1846,7209,26,Comptroller
BRAZORIA,Harvey Hilderbran,3615,17078,21,Comptroller
BRAZOS,Harvey Hilderbran,3539,9583,37,Comptroller
BREWSTER,Harvey Hilderbran,197,438,45,Comptroller
BRISCOE,Harvey Hilderbran,112,291,38,Comptroller
BROOKS,Harvey Hilderbran,0,0,0,Comptroller
BROWN,Harvey Hilderbran,1951,5222,37,Comptroller
BURLESON,Harvey Hilderbran,398,1056,38,Comptroller
BURNET,Harvey Hilderbran,1810,5327,34,Comptroller
CALDWELL,Harvey Hilderbran,187,1151,16,Comptroller
CALHOUN,Harvey Hilderbran,152,929,16,Comptroller
CALLAHAN,Harvey Hilderbran,591,2105,28,Comptroller
CAMERON,Harvey Hilderbran,1305,3540,37,Comptroller
CAMP,Harvey Hilderbran,283,860,33,Comptroller
CARSON,Harvey Hilderbran,329,901,37,Comptroller
CASS,Harvey Hilderbran,614,2905,21,Comptroller
CASTRO,Harvey Hilderbran,238,581,41,Comptroller
CHAMBERS,Harvey Hilderbran,1048,3471,30,Comptroller
CHEROKEE,Harvey Hilderbran,1137,4588,25,Comptroller
CHILDRESS,Harvey Hilderbran,225,730,31,Comptroller
CLAY,Harvey Hilderbran,448,1247,36,Comptroller
COCHRAN,Harvey Hilderbran,125,563,22,Comptroller
COKE,Harvey Hilderbran,240,432,56,Comptroller
COLEMAN,Harvey Hilderbran,608,1402,43,Comptroller
COLLIN,Harvey Hilderbran,5593,40572,14,Comptroller
COLLINGSWORTH,Harvey Hilderbran,54,220,25,Comptroller
COLORADO,Harvey Hilderbran,301,2297,13,Comptroller
COMAL,Harvey Hilderbran,4775,13514,35,Comptroller
COMANCHE,Harvey Hilderbran,323,1527,21,Comptroller
CONCHO,Harvey Hilderbran,215,356,60,Comptroller
COOKE,Harvey Hilderbran,1065,4168,26,Comptroller
CORYELL,Harvey Hilderbran,932,3460,27,Comptroller
COTTLE,Harvey Hilderbran,78,285,27,Comptroller
CRANE,Harvey Hilderbran,162,539,30,Comptroller
CROCKETT,Harvey Hilderbran,35,61,57,Comptroller
CROSBY,Harvey Hilderbran,105,262,40,Comptroller
CULBERSON,Harvey Hilderbran,4,18,22,Comptroller
DALLAM,Harvey Hilderbran,123,407,30,Comptroller
DALLAS,Harvey Hilderbran,13307,75181,18,Comptroller
DAWSON,Harvey Hilderbran,499,1398,36,Comptroller
DEAF SMITH,Harvey Hilderbran,558,1891,30,Comptroller
DELTA,Harvey Hilderbran,179,829,22,Comptroller
DENTON,Harvey Hilderbran,5774,35113,16,Comptroller
DE WITT,Harvey Hilderbran,341,1422,24,Comptroller
DICKENS,Harvey Hilderbran,101,447,23,Comptroller
DIMMIT,Harvey Hilderbran,10,30,33,Comptroller
DONLEY,Harvey Hilderbran,197,683,29,Comptroller
DUVAL,Harvey Hilderbran,0,0,0,Comptroller
EASTLAND,Harvey Hilderbran,712,2360,30,Comptroller
ECTOR,Harvey Hilderbran,2743,7322,37,Comptroller
EDWARDS,Harvey Hilderbran,175,305,57,Comptroller
ELLIS,Harvey Hilderbran,1980,12172,16,Comptroller
EL PASO,Harvey Hilderbran,3060,9089,34,Comptroller
ERATH,Harvey Hilderbran,861,3339,26,Comptroller
FALLS,Harvey Hilderbran,294,949,31,Comptroller
FANNIN,Harvey Hilderbran,514,2324,22,Comptroller
FAYETTE,Harvey Hilderbran,388,3776,10,Comptroller
FISHER,Harvey Hilderbran,63,221,29,Comptroller
FLOYD,Harvey Hilderbran,359,865,42,Comptroller
FOARD,Harvey Hilderbran,0,0,0,Comptroller
FORT BEND,Harvey Hilderbran,4381,26936,16,Comptroller
FRANKLIN,Harvey Hilderbran,300,1262,24,Comptroller
FREESTONE,Harvey Hilderbran,394,1998,20,Comptroller
FRIO,Harvey Hilderbran,0,0,0,Comptroller
GAINES,Harvey Hilderbran,448,1328,34,Comptroller
GALVESTON,Harvey Hilderbran,3802,16514,23,Comptroller
GARZA,Harvey Hilderbran,189,506,37,Comptroller
GILLESPIE,Harvey Hilderbran,2040,3762,54,Comptroller
GLASSCOCK,Harvey Hilderbran,74,195,38,Comptroller
GOLIAD,Harvey Hilderbran,133,875,15,Comptroller
GONZALES,Harvey Hilderbran,337,1511,22,Comptroller
GRAY,Harvey Hilderbran,704,1941,36,Comptroller
GRAYSON,Harvey Hilderbran,2344,9169,26,Comptroller
GREGG,Harvey Hilderbran,2473,7124,35,Comptroller
GRIMES,Harvey Hilderbran,387,1512,26,Comptroller
GUADALUPE,Harvey Hilderbran,3550,10354,34,Comptroller
HALE,Harvey Hilderbran,877,2232,39,Comptroller
HALL,Harvey Hilderbran,63,180,35,Comptroller
HAMILTON,Harvey Hilderbran,256,1115,23,Comptroller
HANSFORD,Harvey Hilderbran,294,901,33,Comptroller
HARDEMAN,Harvey Hilderbran,80,164,49,Comptroller
HARDIN,Harvey Hilderbran,1724,6173,28,Comptroller
HARRIS,Harvey Hilderbran,39367,127060,31,Comptroller
HARRISON,Harvey Hilderbran,1101,4441,25,Comptroller
HARTLEY,Harvey Hilderbran,194,757,26,Comptroller
HASKELL,Harvey Hilderbran,58,242,24,Comptroller
HAYS,Harvey Hilderbran,1888,7683,25,Comptroller
HEMPHILL,Harvey Hilderbran,176,471,37,Comptroller
HENDERSON,Harvey Hilderbran,1497,7785,19,Comptroller
HIDALGO,Harvey Hilderbran,1632,5388,30,Comptroller
HILL,Harvey Hilderbran,797,5115,16,Comptroller
HOCKLEY,Harvey Hilderbran,670,1632,41,Comptroller
HOOD,Harvey Hilderbran,1622,7213,22,Comptroller
HOPKINS,Harvey Hilderbran,409,2718,15,Comptroller
HOUSTON,Harvey Hilderbran,547,1622,34,Comptroller
HOWARD,Harvey Hilderbran,994,2736,36,Comptroller
HUDSPETH,Harvey Hilderbran,0,0,0,Comptroller
HUNT,Harvey Hilderbran,1166,7044,17,Comptroller
HUTCHINSON,Harvey Hilderbran,760,2200,35,Comptroller
IRION,Harvey Hilderbran,123,217,57,Comptroller
JACK,Harvey Hilderbran,196,785,25,Comptroller
JACKSON,Harvey Hilderbran,129,1164,11,Comptroller
JASPER,Harvey Hilderbran,678,2010,34,Comptroller
JEFF DAVIS,Harvey Hilderbran,95,267,36,Comptroller
JEFFERSON,Harvey Hilderbran,2762,9124,30,Comptroller
JIM HOGG,Harvey Hilderbran,5,10,50,Comptroller
JIM WELLS,Harvey Hilderbran,183,516,35,Comptroller
JOHNSON,Harvey Hilderbran,1994,10816,18,Comptroller
JONES,Harvey Hilderbran,476,1554,31,Comptroller
KARNES,Harvey Hilderbran,121,307,39,Comptroller
KAUFMAN,Harvey Hilderbran,1327,8352,16,Comptroller
KENDALL,Harvey Hilderbran,2352,5465,43,Comptroller
KENEDY,Harvey Hilderbran,6,15,40,Comptroller
KENT,Harvey Hilderbran,19,104,18,Comptroller
KERR,Harvey Hilderbran,5742,8657,66,Comptroller
KIMBLE,Harvey Hilderbran,730,1064,69,Comptroller
KING,Harvey Hilderbran,15,52,29,Comptroller
KINNEY,Harvey Hilderbran,139,281,49,Comptroller
KLEBERG,Harvey Hilderbran,278,789,35,Comptroller
KNOX,Harvey Hilderbran,152,402,38,Comptroller
LAMAR,Harvey Hilderbran,815,4568,18,Comptroller
LAMB,Harvey Hilderbran,493,1214,41,Comptroller
LAMPASAS,Harvey Hilderbran,746,2217,34,Comptroller
LA SALLE,Harvey Hilderbran,1,7,14,Comptroller
LAVACA,Harvey Hilderbran,425,2255,19,Comptroller
LEE,Harvey Hilderbran,195,1058,18,Comptroller
LEON,Harvey Hilderbran,792,2426,33,Comptroller
LIBERTY,Harvey Hilderbran,1158,5942,19,Comptroller
LIMESTONE,Harvey Hilderbran,633,2077,30,Comptroller
LIPSCOMB,Harvey Hilderbran,232,558,42,Comptroller
LIVE OAK,Harvey Hilderbran,309,739,42,Comptroller
LLANO,Harvey Hilderbran,1662,3770,44,Comptroller
LOVING,Harvey Hilderbran,2,10,20,Comptroller
LUBBOCK,Harvey Hilderbran,7318,21336,34,Comptroller
LYNN,Harvey Hilderbran,272,919,30,Comptroller
MADISON,Harvey Hilderbran,606,1534,40,Comptroller
MARION,Harvey Hilderbran,189,593,32,Comptroller
MARTIN,Harvey Hilderbran,222,685,32,Comptroller
MASON,Harvey Hilderbran,624,1075,58,Comptroller
MATAGORDA,Harvey Hilderbran,233,1691,14,Comptroller
MAVERICK,Harvey Hilderbran,19,76,25,Comptroller
MCCULLOCH,Harvey Hilderbran,942,1520,62,Comptroller
MCLENNAN,Harvey Hilderbran,2802,10458,27,Comptroller
MCMULLEN,Harvey Hilderbran,37,141,26,Comptroller
MEDINA,Harvey Hilderbran,1927,3940,49,Comptroller
MENARD,Harvey Hilderbran,326,479,68,Comptroller
MIDLAND,Harvey Hilderbran,4235,11442,37,Comptroller
MILAM,Harvey Hilderbran,491,2267,22,Comptroller
MILLS,Harvey Hilderbran,176,698,25,Comptroller
MITCHELL,Harvey Hilderbran,194,648,30,Comptroller
MONTAGUE,Harvey Hilderbran,960,2493,39,Comptroller
MONTGOMERY,Harvey Hilderbran,5921,39105,15,Comptroller
MOORE,Harvey Hilderbran,429,1239,35,Comptroller
MORRIS,Harvey Hilderbran,162,530,31,Comptroller
MOTLEY,Harvey Hilderbran,48,177,27,Comptroller
NACOGDOCHES,Harvey Hilderbran,1501,4966,30,Comptroller
NAVARRO,Harvey Hilderbran,703,3907,18,Comptroller
NEWTON,Harvey Hilderbran,116,422,27,Comptroller
NOLAN,Harvey Hilderbran,387,998,39,Comptroller
NUECES,Harvey Hilderbran,4123,11179,37,Comptroller
OCHILTREE,Harvey Hilderbran,381,874,44,Comptroller
OLDHAM,Harvey Hilderbran,131,362,36,Comptroller
ORANGE,Harvey Hilderbran,1868,7043,27,Comptroller
PALO PINTO,Harvey Hilderbran,443,2721,16,Comptroller
PANOLA,Harvey Hilderbran,971,2876,34,Comptroller
PARKER,Harvey Hilderbran,1561,11912,13,Comptroller
PARMER,Harvey Hilderbran,226,776,29,Comptroller
PECOS,Harvey Hilderbran,196,578,34,Comptroller
POLK,Harvey Hilderbran,970,4995,19,Comptroller
POTTER,Harvey Hilderbran,2418,6534,37,Comptroller
PRESIDIO,Harvey Hilderbran,2,14,14,Comptroller
RAINS,Harvey Hilderbran,191,1097,17,Comptroller
RANDALL,Harvey Hilderbran,3717,12591,30,Comptroller
REAGAN,Harvey Hilderbran,127,259,49,Comptroller
REAL,Harvey Hilderbran,477,873,55,Comptroller
RED RIVER,Harvey Hilderbran,272,1254,22,Comptroller
REEVES,Harvey Hilderbran,0,0,0,Comptroller
REFUGIO,Harvey Hilderbran,108,551,20,Comptroller
ROBERTS,Harvey Hilderbran,83,259,32,Comptroller
ROBERTSON,Harvey Hilderbran,359,1173,31,Comptroller
ROCKWALL,Harvey Hilderbran,1662,7182,23,Comptroller
RUNNELS,Harvey Hilderbran,923,1536,60,Comptroller
RUSK,Harvey Hilderbran,1447,4111,35,Comptroller
SABINE,Harvey Hilderbran,267,1463,18,Comptroller
SAN AUGUSTINE,Harvey Hilderbran,157,666,24,Comptroller
SAN JACINTO,Harvey Hilderbran,534,2310,23,Comptroller
SAN PATRICIO,Harvey Hilderbran,921,2603,35,Comptroller
SAN SABA,Harvey Hilderbran,395,883,45,Comptroller
SCHLEICHER,Harvey Hilderbran,297,418,71,Comptroller
SCURRY,Harvey Hilderbran,744,1530,49,Comptroller
SHACKELFORD,Harvey Hilderbran,117,415,28,Comptroller
SHELBY,Harvey Hilderbran,690,2422,28,Comptroller
SHERMAN,Harvey Hilderbran,98,324,30,Comptroller
SMITH,Harvey Hilderbran,4914,19093,26,Comptroller
SOMERVELL,Harvey Hilderbran,267,1394,19,Comptroller
STARR,Harvey Hilderbran,0,0,0,Comptroller
STEPHENS,Harvey Hilderbran,468,1616,29,Comptroller
STERLING,Harvey Hilderbran,170,325,52,Comptroller
STONEWALL,Harvey Hilderbran,16,47,34,Comptroller
SUTTON,Harvey Hilderbran,389,629,62,Comptroller
SWISHER,Harvey Hilderbran,136,394,35,Comptroller
TARRANT,Harvey Hilderbran,11644,86205,14,Comptroller
TAYLOR,Harvey Hilderbran,3639,11304,32,Comptroller
TERRELL,Harvey Hilderbran,32,96,33,Comptroller
TERRY,Harvey Hilderbran,529,1536,34,Comptroller
THROCKMORTON,Harvey Hilderbran,108,290,37,Comptroller
TITUS,Harvey Hilderbran,431,1494,29,Comptroller
TOM GREEN,Harvey Hilderbran,4306,7622,56,Comptroller
TRAVIS,Harvey Hilderbran,8099,30261,27,Comptroller
TRINITY,Harvey Hilderbran,483,2007,24,Comptroller
TYLER,Harvey Hilderbran,582,2090,28,Comptroller
UPSHUR,Harvey Hilderbran,859,3572,24,Comptroller
UPTON,Harvey Hilderbran,38,107,36,Comptroller
UVALDE,Harvey Hilderbran,889,1334,67,Comptroller
VAL VERDE,Harvey Hilderbran,454,1052,43,Comptroller
VAN ZANDT,Harvey Hilderbran,898,5554,16,Comptroller
VICTORIA,Harvey Hilderbran,835,6037,14,Comptroller
WALKER,Harvey Hilderbran,1136,4513,25,Comptroller
WALLER,Harvey Hilderbran,397,3823,10,Comptroller
WARD,Harvey Hilderbran,205,609,34,Comptroller
WASHINGTON,Harvey Hilderbran,718,4199,17,Comptroller
WEBB,Harvey Hilderbran,169,1098,15,Comptroller
WHARTON,Harvey Hilderbran,268,3674,7,Comptroller
WHEELER,Harvey Hilderbran,203,610,33,Comptroller
WICHITA,Harvey Hilderbran,2976,6985,43,Comptroller
WILBARGER,Harvey Hilderbran,314,720,44,Comptroller
WILLACY,Harvey Hilderbran,43,121,36,Comptroller
WILLIAMSON,Harvey Hilderbran,4838,22121,22,Comptroller
WILSON,Harvey Hilderbran,1256,3551,35,Comptroller
WINKLER,Harvey Hilderbran,244,719,34,Comptroller
WISE,Harvey Hilderbran,1003,5169,19,Comptroller
WOOD,Harvey Hilderbran,1295,4599,28,Comptroller
YOAKUM,Harvey Hilderbran,220,782,28,Comptroller
YOUNG,Harvey Hilderbran,730,1881,39,Comptroller
ZAPATA,Harvey Hilderbran,0,0,0,Comptroller
ZAVALA,Harvey Hilderbran,0,0,0,Comptroller
ANDERSON,George P. Bush,3663,5490,67,Land
ANDREWS,George P. Bush,938,1272,74,Land
ANGELINA,George P. Bush,6333,8088,78,Land
ARANSAS,George P. Bush,2275,3015,75,Land
ARCHER,George P. Bush,876,1252,70,Land
ARMSTRONG,George P. Bush,145,211,69,Land
ATASCOSA,George P. Bush,1172,1568,75,Land
AUSTIN,George P. Bush,2374,3410,70,Land
BAILEY,George P. Bush,320,441,73,Land
BANDERA,George P. Bush,1855,2726,68,Land
BASTROP,George P. Bush,2791,4378,64,Land
BAYLOR,George P. Bush,381,532,72,Land
BEE,George P. Bush,1007,1234,82,Land
BELL,George P. Bush,8858,12649,70,Land
BEXAR,George P. Bush,46580,60250,77,Land
BLANCO,George P. Bush,1047,1550,68,Land
BORDEN,George P. Bush,148,209,71,Land
BOSQUE,George P. Bush,1693,2396,71,Land
BOWIE,George P. Bush,6100,8374,73,Land
BRAZORIA,George P. Bush,11855,17717,67,Land
BRAZOS,George P. Bush,8171,10309,79,Land
BREWSTER,George P. Bush,315,447,70,Land
BRISCOE,George P. Bush,206,306,67,Land
BROOKS,George P. Bush,0,0,0,Land
BROWN,George P. Bush,4052,5548,73,Land
BURLESON,George P. Bush,785,1084,72,Land
BURNET,George P. Bush,3895,5531,70,Land
CALDWELL,George P. Bush,785,1146,68,Land
CALHOUN,George P. Bush,682,954,71,Land
CALLAHAN,George P. Bush,1120,1585,71,Land
CAMERON,George P. Bush,2836,3762,75,Land
CAMP,George P. Bush,651,931,70,Land
CARSON,George P. Bush,666,959,69,Land
CASS,George P. Bush,2232,3206,70,Land
CASTRO,George P. Bush,468,609,77,Land
CHAMBERS,George P. Bush,2795,3734,75,Land
CHEROKEE,George P. Bush,3423,4874,70,Land
CHILDRESS,George P. Bush,602,796,76,Land
CLAY,George P. Bush,938,1381,68,Land
COCHRAN,George P. Bush,395,581,68,Land
COKE,George P. Bush,368,492,75,Land
COLEMAN,George P. Bush,1160,1432,81,Land
COLLIN,George P. Bush,30475,42346,72,Land
COLLINGSWORTH,George P. Bush,169,232,73,Land
COLORADO,George P. Bush,1685,2240,75,Land
COMAL,George P. Bush,10478,13978,75,Land
COMANCHE,George P. Bush,1151,1622,71,Land
CONCHO,George P. Bush,289,369,78,Land
COOKE,George P. Bush,3399,4533,75,Land
CORYELL,George P. Bush,2495,3596,69,Land
COTTLE,George P. Bush,89,196,45,Land
CRANE,George P. Bush,417,572,73,Land
CROCKETT,George P. Bush,48,62,77,Land
CROSBY,George P. Bush,193,267,72,Land
CULBERSON,George P. Bush,9,20,45,Land
DALLAM,George P. Bush,294,415,71,Land
DALLAS,George P. Bush,62209,80563,77,Land
DAWSON,George P. Bush,1052,1448,73,Land
DEAF SMITH,George P. Bush,1429,1916,75,Land
DELTA,George P. Bush,624,890,70,Land
DENTON,George P. Bush,26229,36498,72,Land
DE WITT,George P. Bush,1090,1432,76,Land
DICKENS,George P. Bush,316,465,68,Land
DIMMIT,George P. Bush,23,30,77,Land
DONLEY,George P. Bush,485,726,67,Land
DUVAL,George P. Bush,0,0,0,Land
EASTLAND,George P. Bush,1870,2521,74,Land
ECTOR,George P. Bush,5952,7568,79,Land
EDWARDS,George P. Bush,215,288,75,Land
ELLIS,George P. Bush,9403,12810,73,Land
EL PASO,George P. Bush,7448,9557,78,Land
ERATH,George P. Bush,2841,3636,78,Land
