COUNTY,CANDIDATE,VOTES,TOTAL,PCT
KAUFMAN,Wendy Davis,1091,1175,93
KENDALL,Wendy Davis,309,327,94
KENEDY,Wendy Davis,22,59,37
KENT,Wendy Davis,94,151,62
KERR,Wendy Davis,551,578,95
KIMBLE,Wendy Davis,0,0,0
KING,Wendy Davis,1,2,50
KINNEY,Wendy Davis,228,410,56
KLEBERG,Wendy Davis,761,2028,38
KNOX,Wendy Davis,65,76,86
LAMAR,Wendy Davis,522,597,87
LAMB,Wendy Davis,62,94,66
LAMPASAS,Wendy Davis,148,175,85
LA SALLE,Wendy Davis,368,869,42
LAVACA,Wendy Davis,210,257,82
LEE,Wendy Davis,233,284,82
LEON,Wendy Davis,127,138,92
LIBERTY,Wendy Davis,501,563,89
LIMESTONE,Wendy Davis,277,324,85
LIPSCOMB,Wendy Davis,12,15,80
LIVE OAK,Wendy Davis,78,116,67
LLANO,Wendy Davis,406,443,92
LOVING,Wendy Davis,6,10,60
LUBBOCK,Wendy Davis,3191,3925,81
LYNN,Wendy Davis,0,0,0
MADISON,Wendy Davis,99,109,91
MARION,Wendy Davis,203,233,87
MARTIN,Wendy Davis,16,32,50
MASON,Wendy Davis,63,73,86
MATAGORDA,Wendy Davis,975,1311,74
MAVERICK,Wendy Davis,2067,3781,55
MCCULLOCH,Wendy Davis,0,0,0
MCLENNAN,Wendy Davis,2053,2288,90
MCMULLEN,Wendy Davis,0,0,0
MEDINA,Wendy Davis,411,497,83
MENARD,Wendy Davis,17,21,81
MIDLAND,Wendy Davis,765,960,80
MILAM,Wendy Davis,350,398,88
MILLS,Wendy Davis,0,0,0
MITCHELL,Wendy Davis,78,102,76
MONTAGUE,Wendy Davis,92,101,91
MONTGOMERY,Wendy Davis,2345,2500,94
MOORE,Wendy Davis,0,0,0
MORRIS,Wendy Davis,692,905,76
MOTLEY,Wendy Davis,13,14,93
NACOGDOCHES,Wendy Davis,604,673,90
